year,state,month,number,date
1998,Acre,Janeiro,0,19980101
1999,Acre,Janeiro,0,19990101
2000,Acre,Janeiro,0,20000101
2001,Acre,Janeiro,0,20010101
2002,Acre,Janeiro,0,20020101
2003,Acre,Janeiro,10,20030101
2004,Acre,Janeiro,0,20040101
2005,Acre,Janeiro,12,20050101
2006,Acre,Janeiro,4,20060101
2007,Acre,Janeiro,0,20070101
2008,Acre,Janeiro,0,20080101
2009,Acre,Janeiro,0,20090101
2010,Acre,Janeiro,1,20100101
2011,Acre,Janeiro,0,20110101
2012,Acre,Janeiro,0,20120101
2013,Acre,Janeiro,0,20130101
2014,Acre,Janeiro,0,20140101
2015,Acre,Janeiro,1,20150101
2016,Acre,Janeiro,12,20160101
2017,Acre,Janeiro,0,20170101
1998,Acre,Fevereiro,0,19980101
1999,Acre,Fevereiro,0,19990101
2000,Acre,Fevereiro,0,20000101
2001,Acre,Fevereiro,0,20010101
2002,Acre,Fevereiro,1,20020101
2003,Acre,Fevereiro,0,20030101
2004,Acre,Fevereiro,3,20040101
2005,Acre,Fevereiro,0,20050101
2006,Acre,Fevereiro,0,20060101
2007,Acre,Fevereiro,5,20070101
2008,Acre,Fevereiro,0,20080101
2009,Acre,Fevereiro,2,20090101
2010,Acre,Fevereiro,0,20100101
2011,Acre,Fevereiro,0,20110101
2012,Acre,Fevereiro,0,20120101
2013,Acre,Fevereiro,0,20130101
2014,Acre,Fevereiro,0,20140101
2015,Acre,Fevereiro,2,20150101
2016,Acre,Fevereiro,5,20160101
2017,Acre,Fevereiro,1,20170101
1998,Acre,Mar�o,0,19980101
1999,Acre,Mar�o,0,19990101
2000,Acre,Mar�o,11,20000101
2001,Acre,Mar�o,0,20010101
2002,Acre,Mar�o,0,20020101
2003,Acre,Mar�o,0,20030101
2004,Acre,Mar�o,0,20040101
2005,Acre,Mar�o,3,20050101
2006,Acre,Mar�o,0,20060101
2007,Acre,Mar�o,2,20070101
2008,Acre,Mar�o,0,20080101
2009,Acre,Mar�o,1,20090101
2010,Acre,Mar�o,0,20100101
2011,Acre,Mar�o,0,20110101
2012,Acre,Mar�o,1,20120101
2013,Acre,Mar�o,2,20130101
2014,Acre,Mar�o,1,20140101
2015,Acre,Mar�o,2,20150101
2016,Acre,Mar�o,0,20160101
2017,Acre,Mar�o,0,20170101
1998,Acre,Abril,0,19980101
1999,Acre,Abril,0,19990101
2000,Acre,Abril,1,20000101
2001,Acre,Abril,0,20010101
2002,Acre,Abril,0,20020101
2003,Acre,Abril,1,20030101
2004,Acre,Abril,2,20040101
2005,Acre,Abril,1,20050101
2006,Acre,Abril,0,20060101
2007,Acre,Abril,0,20070101
2008,Acre,Abril,0,20080101
2009,Acre,Abril,0,20090101
2010,Acre,Abril,3,20100101
2011,Acre,Abril,2,20110101
2012,Acre,Abril,1,20120101
2013,Acre,Abril,19,20130101
2014,Acre,Abril,7,20140101
2015,Acre,Abril,3,20150101
2016,Acre,Abril,0,20160101
2017,Acre,Abril,1,20170101
1998,Acre,Maio,0,19980101
1999,Acre,Maio,0,19990101
2000,Acre,Maio,1,20000101
2001,Acre,Maio,0,20010101
2002,Acre,Maio,0,20020101
2003,Acre,Maio,6,20030101
2004,Acre,Maio,7,20040101
2005,Acre,Maio,2,20050101
2006,Acre,Maio,8,20060101
2007,Acre,Maio,1,20070101
2008,Acre,Maio,0,20080101
2009,Acre,Maio,3,20090101
2010,Acre,Maio,9,20100101
2011,Acre,Maio,3,20110101
2012,Acre,Maio,3,20120101
2013,Acre,Maio,4,20130101
2014,Acre,Maio,1,20140101
2015,Acre,Maio,2,20150101
2016,Acre,Maio,21,20160101
2017,Acre,Maio,10,20170101
1998,Acre,Junho,3,19980101
1999,Acre,Junho,0,19990101
2000,Acre,Junho,1,20000101
2001,Acre,Junho,1,20010101
2002,Acre,Junho,0,20020101
2003,Acre,Junho,0,20030101
2004,Acre,Junho,5,20040101
2005,Acre,Junho,27,20050101
2006,Acre,Junho,1,20060101
2007,Acre,Junho,4,20070101
2008,Acre,Junho,0,20080101
2009,Acre,Junho,0,20090101
2010,Acre,Junho,1,20100101
2011,Acre,Junho,10,20110101
2012,Acre,Junho,7,20120101
2013,Acre,Junho,8,20130101
2014,Acre,Junho,17,20140101
2015,Acre,Junho,40,20150101
2016,Acre,Junho,87,20160101
2017,Acre,Junho,45,20170101
1998,Acre,Julho,37,19980101
1999,Acre,Julho,1,19990101
2000,Acre,Julho,1,20000101
2001,Acre,Julho,3,20010101
2002,Acre,Julho,39,20020101
2003,Acre,Julho,168,20030101
2004,Acre,Julho,42,20040101
2005,Acre,Julho,368,20050101
2006,Acre,Julho,33,20060101
2007,Acre,Julho,29,20070101
2008,Acre,Julho,41,20080101
2009,Acre,Julho,31,20090101
2010,Acre,Julho,126,20100101
2011,Acre,Julho,93,20110101
2012,Acre,Julho,71,20120101
2013,Acre,Julho,54,20130101
2014,Acre,Julho,60,20140101
2015,Acre,Julho,109,20150101
2016,Acre,Julho,533,20160101
2017,Acre,Julho,457,20170101
1998,Acre,Agosto,130,19980101
1999,Acre,Agosto,63,19990101
2000,Acre,Agosto,136,20000101
2001,Acre,Agosto,396,20010101
2002,Acre,Agosto,728,20020101
2003,Acre,Agosto,1.976,20030101
2004,Acre,Agosto,645,20040101
2005,Acre,Agosto,4.198,20050101
2006,Acre,Agosto,839,20060101
2007,Acre,Agosto,960,20070101
2008,Acre,Agosto,445,20080101
2009,Acre,Agosto,194,20090101
2010,Acre,Agosto,1.682,20100101
2011,Acre,Agosto,425,20110101
2012,Acre,Agosto,739,20120101
2013,Acre,Agosto,679,20130101
2014,Acre,Agosto,1.1,20140101
2015,Acre,Agosto,1.397,20150101
2016,Acre,Agosto,2.188,20160101
2017,Acre,Agosto,1.493,20170101
1998,Acre,Setembro,509,19980101
1999,Acre,Setembro,209,19990101
2000,Acre,Setembro,265,20000101
2001,Acre,Setembro,290,20010101
2002,Acre,Setembro,1.949,20020101
2003,Acre,Setembro,3.942,20030101
2004,Acre,Setembro,1.978,20040101
2005,Acre,Setembro,4.253,20050101
2006,Acre,Setembro,2.37,20060101
2007,Acre,Setembro,2.08,20070101
2008,Acre,Setembro,1.666,20080101
2009,Acre,Setembro,1.265,20090101
2010,Acre,Setembro,2.531,20100101
2011,Acre,Setembro,1.204,20110101
2012,Acre,Setembro,1.996,20120101
2013,Acre,Setembro,2.136,20130101
2014,Acre,Setembro,2.175,20140101
2015,Acre,Setembro,2.928,20150101
2016,Acre,Setembro,3.586,20160101
2017,Acre,Setembro,3.429,20170101
1998,Acre,Outubro,44,19980101
1999,Acre,Outubro,60,19990101
2000,Acre,Outubro,18,20000101
2001,Acre,Outubro,137,20010101
2002,Acre,Outubro,687,20020101
2003,Acre,Outubro,740,20030101
2004,Acre,Outubro,461,20040101
2005,Acre,Outubro,547,20050101
2006,Acre,Outubro,316,20060101
2007,Acre,Outubro,203,20070101
2008,Acre,Outubro,652,20080101
2009,Acre,Outubro,565,20090101
2010,Acre,Outubro,292,20100101
2011,Acre,Outubro,97,20110101
2012,Acre,Outubro,348,20120101
2013,Acre,Outubro,258,20130101
2014,Acre,Outubro,406,20140101
2015,Acre,Outubro,905,20150101
2016,Acre,Outubro,509,20160101
2017,Acre,Outubro,1.508,20170101
1998,Acre,Novembro,0,19980101
1999,Acre,Novembro,0,19990101
2000,Acre,Novembro,0,20000101
2001,Acre,Novembro,1,20010101
2002,Acre,Novembro,86,20020101
2003,Acre,Novembro,15,20030101
2004,Acre,Novembro,10,20040101
2005,Acre,Novembro,14,20050101
2006,Acre,Novembro,18,20060101
2007,Acre,Novembro,7,20070101
2008,Acre,Novembro,4,20080101
2009,Acre,Novembro,33,20090101
2010,Acre,Novembro,39,20100101
2011,Acre,Novembro,74,20110101
2012,Acre,Novembro,13,20120101
2013,Acre,Novembro,79,20130101
2014,Acre,Novembro,56,20140101
2015,Acre,Novembro,115,20150101
2016,Acre,Novembro,46,20160101
2017,Acre,Novembro,98,20170101
1998,Acre,Dezembro,7,19980101
1999,Acre,Dezembro,0,19990101
2000,Acre,Dezembro,0,20000101
2001,Acre,Dezembro,0,20010101
2002,Acre,Dezembro,1,20020101
2003,Acre,Dezembro,1,20030101
2004,Acre,Dezembro,7,20040101
2005,Acre,Dezembro,2,20050101
2006,Acre,Dezembro,0,20060101
2007,Acre,Dezembro,0,20070101
2008,Acre,Dezembro,0,20080101
2009,Acre,Dezembro,1,20090101
2010,Acre,Dezembro,0,20100101
2011,Acre,Dezembro,4,20110101
2012,Acre,Dezembro,1,20120101
2013,Acre,Dezembro,3,20130101
2014,Acre,Dezembro,6,20140101
2015,Acre,Dezembro,8,20150101
2016,Acre,Dezembro,6,20160101
1998,Alagoas,Janeiro,0,19980101
1999,Alagoas,Janeiro,58,19990101
2000,Alagoas,Janeiro,11,20000101
2001,Alagoas,Janeiro,5,20010101
2002,Alagoas,Janeiro,12,20020101
2003,Alagoas,Janeiro,150,20030101
2004,Alagoas,Janeiro,9,20040101
2005,Alagoas,Janeiro,83,20050101
2006,Alagoas,Janeiro,29,20060101
2007,Alagoas,Janeiro,33,20070101
2008,Alagoas,Janeiro,55,20080101
2009,Alagoas,Janeiro,104,20090101
2010,Alagoas,Janeiro,23,20100101
2011,Alagoas,Janeiro,41,20110101
2012,Alagoas,Janeiro,36,20120101
2013,Alagoas,Janeiro,49,20130101
2014,Alagoas,Janeiro,54,20140101
2015,Alagoas,Janeiro,81,20150101
2016,Alagoas,Janeiro,24,20160101
2017,Alagoas,Janeiro,38,20170101
2017,Alagoas,Janeiro,38,20170101
1998,Alagoas,Fevereiro,0,19980101
1999,Alagoas,Fevereiro,20,19990101
2000,Alagoas,Fevereiro,16,20000101
2001,Alagoas,Fevereiro,4,20010101
2002,Alagoas,Fevereiro,15,20020101
2003,Alagoas,Fevereiro,33,20030101
2004,Alagoas,Fevereiro,7,20040101
2005,Alagoas,Fevereiro,31,20050101
2006,Alagoas,Fevereiro,14,20060101
2007,Alagoas,Fevereiro,28,20070101
2008,Alagoas,Fevereiro,74,20080101
2009,Alagoas,Fevereiro,32,20090101
2010,Alagoas,Fevereiro,26,20100101
2011,Alagoas,Fevereiro,33,20110101
2012,Alagoas,Fevereiro,41,20120101
2013,Alagoas,Fevereiro,19,20130101
2014,Alagoas,Fevereiro,29,20140101
2015,Alagoas,Fevereiro,46,20150101
2016,Alagoas,Fevereiro,14,20160101
2017,Alagoas,Fevereiro,21,20170101
1998,Alagoas,Mar�o,0,19980101
1999,Alagoas,Mar�o,52,19990101
2000,Alagoas,Mar�o,32,20000101
2001,Alagoas,Mar�o,0,20010101
2002,Alagoas,Mar�o,27,20020101
2003,Alagoas,Mar�o,15,20030101
2004,Alagoas,Mar�o,16,20040101
2005,Alagoas,Mar�o,35,20050101
2006,Alagoas,Mar�o,37,20060101
2007,Alagoas,Mar�o,7,20070101
2008,Alagoas,Mar�o,31,20080101
2009,Alagoas,Mar�o,31,20090101
2010,Alagoas,Mar�o,70,20100101
2011,Alagoas,Mar�o,34,20110101
2012,Alagoas,Mar�o,44,20120101
2013,Alagoas,Mar�o,31,20130101
2014,Alagoas,Mar�o,28,20140101
2015,Alagoas,Mar�o,32,20150101
2016,Alagoas,Mar�o,9,20160101
2017,Alagoas,Mar�o,23,20170101
1998,Alagoas,Abril,0,19980101
1999,Alagoas,Abril,4,19990101
2000,Alagoas,Abril,20,20000101
2001,Alagoas,Abril,0,20010101
2002,Alagoas,Abril,6,20020101
2003,Alagoas,Abril,20,20030101
2004,Alagoas,Abril,6,20040101
2005,Alagoas,Abril,1,20050101
2006,Alagoas,Abril,2,20060101
2007,Alagoas,Abril,1,20070101
2008,Alagoas,Abril,18,20080101
2009,Alagoas,Abril,5,20090101
2010,Alagoas,Abril,3,20100101
2011,Alagoas,Abril,17,20110101
2012,Alagoas,Abril,18,20120101
2013,Alagoas,Abril,25,20130101
2014,Alagoas,Abril,16,20140101
2015,Alagoas,Abril,63,20150101
2016,Alagoas,Abril,13,20160101
2017,Alagoas,Abril,7,20170101
1998,Alagoas,Maio,0,19980101
1999,Alagoas,Maio,1,19990101
2000,Alagoas,Maio,1,20000101
2001,Alagoas,Maio,2,20010101
2002,Alagoas,Maio,1,20020101
2003,Alagoas,Maio,1,20030101
2004,Alagoas,Maio,3,20040101
2005,Alagoas,Maio,0,20050101
2006,Alagoas,Maio,0,20060101
2007,Alagoas,Maio,0,20070101
2008,Alagoas,Maio,0,20080101
2009,Alagoas,Maio,0,20090101
2010,Alagoas,Maio,0,20100101
2011,Alagoas,Maio,0,20110101
2012,Alagoas,Maio,21,20120101
2013,Alagoas,Maio,2,20130101
2014,Alagoas,Maio,1,20140101
2015,Alagoas,Maio,18,20150101
2016,Alagoas,Maio,4,20160101
2017,Alagoas,Maio,1,20170101
1998,Alagoas,Junho,0,19980101
1999,Alagoas,Junho,0,19990101
2000,Alagoas,Junho,0,20000101
2001,Alagoas,Junho,2,20010101
2002,Alagoas,Junho,0,20020101
2003,Alagoas,Junho,0,20030101
2004,Alagoas,Junho,0,20040101
2005,Alagoas,Junho,0,20050101
2006,Alagoas,Junho,0,20060101
2007,Alagoas,Junho,0,20070101
2008,Alagoas,Junho,0,20080101
2009,Alagoas,Junho,0,20090101
2010,Alagoas,Junho,0,20100101
2011,Alagoas,Junho,2,20110101
2012,Alagoas,Junho,4,20120101
2013,Alagoas,Junho,1,20130101
2014,Alagoas,Junho,2,20140101
2015,Alagoas,Junho,2,20150101
2016,Alagoas,Junho,5,20160101
2017,Alagoas,Junho,2,20170101
1998,Alagoas,Julho,0,19980101
1999,Alagoas,Julho,0,19990101
2000,Alagoas,Julho,0,20000101
2001,Alagoas,Julho,0,20010101
2002,Alagoas,Julho,5,20020101
2003,Alagoas,Julho,0,20030101
2004,Alagoas,Julho,0,20040101
2005,Alagoas,Julho,0,20050101
2006,Alagoas,Julho,0,20060101
2007,Alagoas,Julho,0,20070101
2008,Alagoas,Julho,0,20080101
2009,Alagoas,Julho,0,20090101
2010,Alagoas,Julho,2,20100101
2011,Alagoas,Julho,0,20110101
2012,Alagoas,Julho,0,20120101
2013,Alagoas,Julho,0,20130101
2014,Alagoas,Julho,1,20140101
2015,Alagoas,Julho,0,20150101
2016,Alagoas,Julho,3,20160101
2017,Alagoas,Julho,0,20170101
1998,Alagoas,Agosto,1,19980101
1999,Alagoas,Agosto,3,19990101
2000,Alagoas,Agosto,4,20000101
2001,Alagoas,Agosto,1,20010101
2002,Alagoas,Agosto,3,20020101
2003,Alagoas,Agosto,2,20030101
2004,Alagoas,Agosto,2,20040101
2005,Alagoas,Agosto,2,20050101
2006,Alagoas,Agosto,1,20060101
2007,Alagoas,Agosto,3,20070101
2008,Alagoas,Agosto,1,20080101
2009,Alagoas,Agosto,0,20090101
2010,Alagoas,Agosto,1,20100101
2011,Alagoas,Agosto,4,20110101
2012,Alagoas,Agosto,0,20120101
2013,Alagoas,Agosto,0,20130101
2014,Alagoas,Agosto,3,20140101
2015,Alagoas,Agosto,3,20150101
2016,Alagoas,Agosto,5,20160101
2017,Alagoas,Agosto,1,20170101
1998,Alagoas,Setembro,14,19980101
1999,Alagoas,Setembro,3,19990101
2000,Alagoas,Setembro,22,20000101
2001,Alagoas,Setembro,5,20010101
2002,Alagoas,Setembro,14,20020101
2003,Alagoas,Setembro,8,20030101
2004,Alagoas,Setembro,5,20040101
2005,Alagoas,Setembro,7,20050101
2006,Alagoas,Setembro,4,20060101
2007,Alagoas,Setembro,2,20070101
2008,Alagoas,Setembro,9,20080101
2009,Alagoas,Setembro,13,20090101
2010,Alagoas,Setembro,5,20100101
2011,Alagoas,Setembro,5,20110101
2012,Alagoas,Setembro,6,20120101
2013,Alagoas,Setembro,4,20130101
2014,Alagoas,Setembro,11,20140101
2015,Alagoas,Setembro,7,20150101
2016,Alagoas,Setembro,18,20160101
2017,Alagoas,Setembro,4,20170101
1998,Alagoas,Outubro,20,19980101
1999,Alagoas,Outubro,4,19990101
2000,Alagoas,Outubro,13,20000101
2001,Alagoas,Outubro,15,20010101
2002,Alagoas,Outubro,30,20020101
2003,Alagoas,Outubro,10,20030101
2004,Alagoas,Outubro,12,20040101
2005,Alagoas,Outubro,17,20050101
2006,Alagoas,Outubro,32,20060101
2007,Alagoas,Outubro,6,20070101
2008,Alagoas,Outubro,18,20080101
2009,Alagoas,Outubro,30,20090101
2010,Alagoas,Outubro,16,20100101
2011,Alagoas,Outubro,23,20110101
2012,Alagoas,Outubro,28,20120101
2013,Alagoas,Outubro,25,20130101
2014,Alagoas,Outubro,7,20140101
2015,Alagoas,Outubro,40,20150101
2016,Alagoas,Outubro,74,20160101
2017,Alagoas,Outubro,14,20170101
1998,Alagoas,Novembro,19,19980101
1999,Alagoas,Novembro,15,19990101
2000,Alagoas,Novembro,2,20000101
2001,Alagoas,Novembro,22,20010101
2002,Alagoas,Novembro,50,20020101
2003,Alagoas,Novembro,17,20030101
2004,Alagoas,Novembro,28,20040101
2005,Alagoas,Novembro,25,20050101
2006,Alagoas,Novembro,12,20060101
2007,Alagoas,Novembro,15,20070101
2008,Alagoas,Novembro,37,20080101
2009,Alagoas,Novembro,55,20090101
2010,Alagoas,Novembro,31,20100101
2011,Alagoas,Novembro,23,20110101
2012,Alagoas,Novembro,95,20120101
2013,Alagoas,Novembro,10,20130101
2014,Alagoas,Novembro,14,20140101
2015,Alagoas,Novembro,162,20150101
2016,Alagoas,Novembro,76,20160101
2017,Alagoas,Novembro,10,20170101
1998,Alagoas,Dezembro,32,19980101
1999,Alagoas,Dezembro,12,19990101
2000,Alagoas,Dezembro,2,20000101
2001,Alagoas,Dezembro,30,20010101
2002,Alagoas,Dezembro,95,20020101
2003,Alagoas,Dezembro,43,20030101
2004,Alagoas,Dezembro,71,20040101
2005,Alagoas,Dezembro,16,20050101
2006,Alagoas,Dezembro,30,20060101
2007,Alagoas,Dezembro,33,20070101
2008,Alagoas,Dezembro,34,20080101
2009,Alagoas,Dezembro,55,20090101
2010,Alagoas,Dezembro,45,20100101
2011,Alagoas,Dezembro,50,20110101
2012,Alagoas,Dezembro,59,20120101
2013,Alagoas,Dezembro,42,20130101
2014,Alagoas,Dezembro,24,20140101
2015,Alagoas,Dezembro,136,20150101
2016,Alagoas,Dezembro,155,20160101
1998,Amapa,Janeiro,0,19980101
1999,Amapa,Janeiro,0,19990101
2000,Amapa,Janeiro,2,20000101
2001,Amapa,Janeiro,0,20010101
2002,Amapa,Janeiro,7,20020101
2003,Amapa,Janeiro,31,20030101
2004,Amapa,Janeiro,38,20040101
2005,Amapa,Janeiro,109,20050101
2006,Amapa,Janeiro,6,20060101
2007,Amapa,Janeiro,0,20070101
2008,Amapa,Janeiro,2,20080101
2009,Amapa,Janeiro,4,20090101
2010,Amapa,Janeiro,2,20100101
2011,Amapa,Janeiro,0,20110101
2012,Amapa,Janeiro,30,20120101
2013,Amapa,Janeiro,3,20130101
2014,Amapa,Janeiro,10,20140101
2015,Amapa,Janeiro,14,20150101
2016,Amapa,Janeiro,19,20160101
2017,Amapa,Janeiro,2,20170101
1998,Amapa,Fevereiro,0,19980101
1999,Amapa,Fevereiro,1,19990101
2000,Amapa,Fevereiro,0,20000101
2001,Amapa,Fevereiro,0,20010101
2002,Amapa,Fevereiro,2,20020101
2003,Amapa,Fevereiro,0,20030101
2004,Amapa,Fevereiro,2,20040101
2005,Amapa,Fevereiro,1,20050101
2006,Amapa,Fevereiro,2,20060101
2007,Amapa,Fevereiro,0,20070101
2008,Amapa,Fevereiro,0,20080101
2009,Amapa,Fevereiro,0,20090101
2010,Amapa,Fevereiro,0,20100101
2011,Amapa,Fevereiro,3,20110101
2012,Amapa,Fevereiro,5,20120101
2013,Amapa,Fevereiro,0,20130101
2014,Amapa,Fevereiro,2,20140101
2015,Amapa,Fevereiro,1,20150101
2016,Amapa,Fevereiro,1,20160101
2017,Amapa,Fevereiro,0,20170101
1998,Amapa,Mar�o,0,19980101
1999,Amapa,Mar�o,2,19990101
2000,Amapa,Mar�o,0,20000101
2001,Amapa,Mar�o,0,20010101
2002,Amapa,Mar�o,0,20020101
2003,Amapa,Mar�o,1,20030101
2004,Amapa,Mar�o,0,20040101
2005,Amapa,Mar�o,0,20050101
2006,Amapa,Mar�o,0,20060101
2007,Amapa,Mar�o,0,20070101
2008,Amapa,Mar�o,1,20080101
2009,Amapa,Mar�o,1,20090101
2010,Amapa,Mar�o,2,20100101
2011,Amapa,Mar�o,0,20110101
2012,Amapa,Mar�o,1,20120101
2013,Amapa,Mar�o,0,20130101
2014,Amapa,Mar�o,1,20140101
2015,Amapa,Mar�o,2,20150101
2016,Amapa,Mar�o,5,20160101
2017,Amapa,Mar�o,0,20170101
1998,Amapa,Abril,0,19980101
1999,Amapa,Abril,0,19990101
2000,Amapa,Abril,0,20000101
2001,Amapa,Abril,0,20010101
2002,Amapa,Abril,0,20020101
2003,Amapa,Abril,2,20030101
2004,Amapa,Abril,0,20040101
2005,Amapa,Abril,0,20050101
2006,Amapa,Abril,0,20060101
2007,Amapa,Abril,0,20070101
2008,Amapa,Abril,2,20080101
2009,Amapa,Abril,0,20090101
2010,Amapa,Abril,2,20100101
2011,Amapa,Abril,0,20110101
2012,Amapa,Abril,2,20120101
2013,Amapa,Abril,2,20130101
2014,Amapa,Abril,0,20140101
2015,Amapa,Abril,0,20150101
2016,Amapa,Abril,0,20160101
2017,Amapa,Abril,3,20170101
1998,Amapa,Maio,0,19980101
1999,Amapa,Maio,0,19990101
2000,Amapa,Maio,0,20000101
2001,Amapa,Maio,0,20010101
2002,Amapa,Maio,3,20020101
2003,Amapa,Maio,0,20030101
2004,Amapa,Maio,0,20040101
2005,Amapa,Maio,0,20050101
2006,Amapa,Maio,0,20060101
2007,Amapa,Maio,0,20070101
2008,Amapa,Maio,0,20080101
2009,Amapa,Maio,2,20090101
2010,Amapa,Maio,2,20100101
2011,Amapa,Maio,2,20110101
2012,Amapa,Maio,2,20120101
2013,Amapa,Maio,0,20130101
2014,Amapa,Maio,0,20140101
2015,Amapa,Maio,0,20150101
2016,Amapa,Maio,1,20160101
2017,Amapa,Maio,1,20170101
1998,Amapa,Junho,0,19980101
1999,Amapa,Junho,2,19990101
2000,Amapa,Junho,0,20000101
2001,Amapa,Junho,0,20010101
2002,Amapa,Junho,0,20020101
2003,Amapa,Junho,0,20030101
2004,Amapa,Junho,5,20040101
2005,Amapa,Junho,2,20050101
2006,Amapa,Junho,0,20060101
2007,Amapa,Junho,0,20070101
2008,Amapa,Junho,0,20080101
2009,Amapa,Junho,1,20090101
2010,Amapa,Junho,0,20100101
2011,Amapa,Junho,0,20110101
2012,Amapa,Junho,7,20120101
2013,Amapa,Junho,1,20130101
2014,Amapa,Junho,0,20140101
2015,Amapa,Junho,3,20150101
2016,Amapa,Junho,2,20160101
2017,Amapa,Junho,2,20170101
1998,Amapa,Julho,0,19980101
1999,Amapa,Julho,0,19990101
2000,Amapa,Julho,0,20000101
2001,Amapa,Julho,1,20010101
2002,Amapa,Julho,1,20020101
2003,Amapa,Julho,0,20030101
2004,Amapa,Julho,2,20040101
2005,Amapa,Julho,0,20050101
2006,Amapa,Julho,0,20060101
2007,Amapa,Julho,0,20070101
2008,Amapa,Julho,0,20080101
2009,Amapa,Julho,4,20090101
2010,Amapa,Julho,2,20100101
2011,Amapa,Julho,5,20110101
